wavelength	X-bar	Y-bar	Z-bar	D65
380	0.001368	0.000039	0.006450	0.04998 
381	0.001502	0.000043	0.007083	0.05044 
382	0.001642	0.000047	0.007745	0.05091 
383	0.001802	0.000052	0.008501	0.05138 
384	0.001996	0.000057	0.009415	0.05184 
385	0.002236	0.000064	0.010550	0.05231 
386	0.002535	0.000072	0.011966	0.05278 
387	0.002893	0.000082	0.013656	0.05325 
388	0.003301	0.000094	0.015588	0.05371 
389	0.003753	0.000106	0.017730	0.05418 
390	0.004243	0.000120	0.020050	0.05465 
391	0.004762	0.000135	0.022511	0.05746 
392	0.005330	0.000151	0.025203	0.06027 
393	0.005979	0.000170	0.028280	0.06308 
394	0.006741	0.000192	0.031897	0.06589 
395	0.007650	0.000217	0.036210	0.06870 
396	0.008751	0.000247	0.041438	0.07151 
397	0.010029	0.000281	0.047504	0.07432 
398	0.011422	0.000319	0.054120	0.07713 
399	0.012869	0.000357	0.060998	0.07994 
400	0.014310	0.000396	0.067850	0.08275 
401	0.015704	0.000434	0.074486	0.08363 
402	0.017147	0.000473	0.081362	0.08450 
403	0.018781	0.000518	0.089154	0.08537 
404	0.020748	0.000572	0.098540	0.08625 
405	0.023190	0.000640	0.110200	0.08712 
406	0.026207	0.000725	0.124613	0.08799 
407	0.029782	0.000826	0.141702	0.08887 
408	0.033881	0.000941	0.161304	0.08974 
409	0.038468	0.001070	0.183257	0.09061 
410	0.043510	0.001210	0.207400	0.09149 
411	0.048996	0.001362	0.233692	0.09168 
412	0.055023	0.001531	0.262611	0.09188 
413	0.061719	0.001720	0.294775	0.09207 
414	0.069212	0.001935	0.330799	0.09226 
415	0.077630	0.002180	0.371300	0.09246 
416	0.086958	0.002455	0.416209	0.09265 
417	0.097177	0.002764	0.465464	0.09285 
418	0.108406	0.003118	0.519695	0.09304 
419	0.120767	0.003526	0.579530	0.09324 
420	0.134380	0.004000	0.645600	0.09343 
421	0.149358	0.004546	0.718484	0.09276 
422	0.165396	0.005159	0.796713	0.09208 
423	0.181983	0.005829	0.877846	0.09141 
424	0.198611	0.006546	0.959439	0.09073 
425	0.214770	0.007300	1.039050	0.09006 
426	0.230187	0.008087	1.115367	0.08938 
427	0.244880	0.008909	1.188497	0.08871 
428	0.258777	0.009768	1.258123	0.08803 
429	0.271808	0.010664	1.323930	0.08736 
430	0.283900	0.011600	1.385600	0.08668 
431	0.294944	0.012573	1.442635	0.08850 
432	0.304897	0.013583	1.494804	0.09032 
433	0.313787	0.014630	1.542190	0.09214 
434	0.321645	0.015715	1.584881	0.09396 
435	0.328500	0.016840	1.622960	0.09577 
436	0.334351	0.018007	1.656405	0.09759 
437	0.339210	0.019214	1.685296	0.09941 
438	0.343121	0.020454	1.709875	0.10123 
439	0.346130	0.021718	1.730382	0.10305 
440	0.348280	0.023000	1.747060	0.10487 
441	0.349600	0.024295	1.760045	0.10608 
442	0.350147	0.025610	1.769623	0.10729 
443	0.350013	0.026959	1.776264	0.10851 
444	0.349287	0.028351	1.780433	0.10972 
445	0.348060	0.029800	1.782600	0.11094 
446	0.346373	0.031311	1.782968	0.11215 
447	0.344262	0.032884	1.781700	0.11337 
448	0.341809	0.034521	1.779198	0.11458 
449	0.339094	0.036226	1.775867	0.11579 
450	0.336200	0.038000	1.772110	0.11701 
451	0.333198	0.039847	1.768259	0.11709 
452	0.330041	0.041768	1.764039	0.11717 
453	0.326636	0.043766	1.758944	0.11725 
454	0.322887	0.045843	1.752466	0.11733 
455	0.318700	0.048000	1.744100	0.11741 
456	0.314025	0.050244	1.733559	0.11749 
457	0.308884	0.052573	1.720858	0.11757 
458	0.303290	0.054981	1.705937	0.11765 
459	0.297258	0.057459	1.688737	0.11773 
460	0.290800	0.060000	1.669200	0.11781 
461	0.283970	0.062602	1.647529	0.11752 
462	0.276721	0.065278	1.623413	0.11722 
463	0.268918	0.068042	1.596022	0.11693 
464	0.260423	0.070911	1.564528	0.11663 
465	0.251100	0.073900	1.528100	0.11634 
466	0.240847	0.077016	1.486111	0.11604 
467	0.229851	0.080266	1.439522	0.11575 
468	0.218407	0.083667	1.389880	0.11545 
469	0.206812	0.087233	1.338736	0.11516 
470	0.195360	0.090980	1.287640	0.11486 
471	0.184214	0.094918	1.237422	0.11497 
472	0.173327	0.099046	1.187824	0.11507 
