wavelength	#1_300	#3_300	#8_300	#11_300	#16_300	#18_300	#1_500	#3_500	#8_500	#11_500	#16_500	#18_500	#1_800	#3_800	#8_800	#11_800	#16_800	#18_800	#1_2500	#3_2500	#8_2500	#11_2500	#16_2500	#18_2500
200	0.49 	0.24 	1.01 	0.93 	0.33 	0.60 	-0.04 	0.06 	0.04 	-0.02 	0.03 	-0.05 	-0.06 	0.00 	-0.03 	-0.08 	-0.04 	0.00 	-0.08 	0.05 	0.07 	0.06 	0.06 	0.04 
201	0.29 	0.34 	0.92 	1.00 	0.29 	0.59 	0.13 	-0.06 	-0.06 	-0.08 	-0.14 	-0.10 	-0.08 	-0.20 	-0.07 	-0.09 	-0.11 	-0.08 	0.00 	-0.11 	0.00 	-0.12 	-0.03 	-0.08 
202	0.57 	0.47 	0.84 	0.81 	0.67 	0.51 	0.14 	0.17 	0.05 	0.12 	-0.04 	0.18 	0.02 	0.06 	0.11 	0.13 	0.09 	0.02 	-0.01 	0.14 	0.01 	0.07 	0.05 	0.00 
203	0.63 	0.46 	0.86 	0.99 	0.65 	0.47 	0.06 	0.14 	0.20 	-0.01 	0.04 	0.16 	-0.09 	0.03 	-0.08 	-0.08 	0.04 	0.12 	0.09 	0.15 	-0.03 	-0.07 	0.02 	0.08 
204	0.51 	0.40 	0.96 	0.77 	0.51 	0.58 	0.06 	0.05 	0.05 	0.08 	0.13 	0.14 	0.06 	0.01 	0.08 	0.09 	0.09 	-0.01 	0.01 	0.08 	0.04 	-0.13 	0.15 	-0.01 
205	0.63 	0.53 	0.83 	1.11 	0.55 	0.53 	0.09 	0.14 	0.14 	0.14 	0.20 	0.08 	0.13 	0.13 	0.11 	0.10 	0.09 	0.19 	0.09 	0.03 	0.12 	0.10 	0.10 	0.12 
206	0.62 	0.40 	1.05 	0.69 	0.43 	0.47 	0.08 	0.04 	0.03 	0.10 	0.10 	0.09 	0.07 	0.02 	0.00 	0.06 	0.09 	0.06 	0.06 	0.07 	0.09 	0.00 	0.04 	0.09 
207	0.54 	0.55 	0.87 	0.77 	0.30 	0.57 	0.14 	0.02 	-0.04 	0.09 	-0.07 	0.01 	0.04 	0.01 	0.08 	0.04 	-0.04 	0.00 	0.01 	0.03 	0.08 	0.03 	0.12 	0.02 
208	0.35 	0.39 	0.94 	0.80 	0.44 	0.63 	0.05 	0.11 	-0.03 	0.03 	0.07 	-0.01 	0.03 	0.06 	0.03 	0.03 	0.03 	0.02 	-0.02 	0.02 	0.07 	-0.03 	0.01 	0.01 
209	0.43 	0.41 	0.79 	0.75 	0.40 	0.64 	0.14 	0.09 	0.07 	0.11 	0.02 	0.04 	0.05 	0.05 	0.03 	0.06 	0.02 	0.04 	0.09 	0.04 	0.03 	0.06 	0.01 	0.01 
210	0.50 	0.43 	0.77 	0.69 	0.37 	0.51 	0.06 	0.08 	0.15 	0.05 	0.07 	0.05 	0.07 	0.03 	0.08 	0.01 	0.00 	0.01 	0.00 	0.00 	0.03 	0.08 	0.00 	0.06 
211	0.46 	0.43 	0.60 	0.85 	0.37 	0.42 	0.01 	0.05 	0.01 	-0.01 	0.08 	0.09 	0.04 	0.02 	0.03 	0.03 	0.05 	0.03 	0.05 	0.07 	0.06 	0.04 	0.03 	-0.01 
